filepath,layer,language,frequency
1shot_arabic_czech_predictions.csv,14,eng,1.273600000000004
1shot_arabic_czech_predictions.csv,14,ara,0.07139999999999999
1shot_arabic_czech_predictions.csv,15,ces,6.61009999999998
1shot_arabic_czech_predictions.csv,15,eng,5.527099999999989
1shot_arabic_czech_predictions.csv,15,ara,0.03399999999999999
1shot_arabic_czech_predictions.csv,16,eng,21.56499999999997
1shot_arabic_czech_predictions.csv,16,ces,2.9551999999999983
1shot_arabic_czech_predictions.csv,16,ara,0.061000000000000006
1shot_arabic_czech_predictions.csv,17,eng,35.73319999999994
1shot_arabic_czech_predictions.csv,17,ces,4.301999999999995
1shot_arabic_czech_predictions.csv,17,ara,0.0821
1shot_arabic_czech_predictions.csv,18,eng,83.76650000000014
1shot_arabic_czech_predictions.csv,18,ces,3.6304999999999947
1shot_arabic_czech_predictions.csv,18,ara,0.0185
1shot_arabic_czech_predictions.csv,19,eng,256.5304000000001
1shot_arabic_czech_predictions.csv,19,ces,5.009199999999989
1shot_arabic_czech_predictions.csv,19,ara,0.07060000000000001
1shot_arabic_czech_predictions.csv,20,eng,341.0945000000014
1shot_arabic_czech_predictions.csv,20,ces,3.1315
1shot_arabic_czech_predictions.csv,20,ara,0.12209999999999999
1shot_arabic_czech_predictions.csv,21,eng,449.30330000000066
1shot_arabic_czech_predictions.csv,21,ara,0.37240000000000006
1shot_arabic_czech_predictions.csv,21,ces,4.356500000000001
1shot_arabic_czech_predictions.csv,22,eng,449.66299999999893
1shot_arabic_czech_predictions.csv,22,ara,0.6333000000000001
1shot_arabic_czech_predictions.csv,22,ces,7.518800000000003
1shot_arabic_czech_predictions.csv,23,eng,444.66939999999823
1shot_arabic_czech_predictions.csv,23,ces,11.901800000000001
1shot_arabic_czech_predictions.csv,23,ara,0.7412000000000001
1shot_arabic_czech_predictions.csv,24,eng,407.50050000000067
1shot_arabic_czech_predictions.csv,24,ces,16.474600000000002
1shot_arabic_czech_predictions.csv,24,ara,0.9776
1shot_arabic_czech_predictions.csv,25,ces,44.493400000000065
1shot_arabic_czech_predictions.csv,25,eng,295.3676000000004
1shot_arabic_czech_predictions.csv,25,ara,0.7115999999999999
1shot_arabic_czech_predictions.csv,26,ces,100.62209999999989
1shot_arabic_czech_predictions.csv,26,eng,250.3196000000006
1shot_arabic_czech_predictions.csv,26,ara,0.9900999999999999
1shot_arabic_czech_predictions.csv,27,ces,301.04700000000076
1shot_arabic_czech_predictions.csv,27,eng,94.6164999999999
1shot_arabic_czech_predictions.csv,27,ara,3.144
1shot_arabic_czech_predictions.csv,28,ces,311.31879999999995
1shot_arabic_czech_predictions.csv,28,eng,16.365
1shot_arabic_czech_predictions.csv,28,ara,4.988299999999998
1shot_arabic_czech_predictions.csv,6,ces,8.66930000000002
1shot_arabic_czech_predictions.csv,6,eng,0.6708
1shot_arabic_czech_predictions.csv,10,eng,1.3302000000000023
1shot_arabic_czech_predictions.csv,10,ces,1.6031000000000002
1shot_arabic_czech_predictions.csv,10,ara,0.028199999999999996
1shot_arabic_czech_predictions.csv,12,ces,1.5198000000000063
1shot_arabic_czech_predictions.csv,12,eng,0.9745999999999968
1shot_arabic_czech_predictions.csv,12,ara,0.013
1shot_arabic_czech_predictions.csv,7,eng,1.2709000000000015
1shot_arabic_czech_predictions.csv,7,ces,0.9723999999999996
1shot_arabic_czech_predictions.csv,7,ara,0.0064
1shot_arabic_czech_predictions.csv,11,ces,0.7825
1shot_arabic_czech_predictions.csv,11,eng,1.1227000000000003
1shot_arabic_czech_predictions.csv,11,ara,0.0043
0shot_czech_arabic_predictions.csv,1,ces,1000.0
0shot_czech_arabic_predictions.csv,1,ara,0.0
0shot_czech_arabic_predictions.csv,1,eng,0.0
0shot_czech_arabic_predictions.csv,2,ces,823.4136999999995
0shot_czech_arabic_predictions.csv,2,eng,0.25840000000000046
0shot_czech_arabic_predictions.csv,2,ara,0.008799999999999999
0shot_czech_arabic_predictions.csv,3,ces,22.24049999999984
0shot_czech_arabic_predictions.csv,3,eng,0.20099999999999998
0shot_czech_arabic_predictions.csv,4,ces,5.104299999999993
0shot_czech_arabic_predictions.csv,4,eng,1.012700000000002
0shot_czech_arabic_predictions.csv,5,ces,0.8857999999999994
0shot_czech_arabic_predictions.csv,5,eng,0.014299999999999998
0shot_czech_arabic_predictions.csv,5,ara,0.0014
0shot_czech_arabic_predictions.csv,7,eng,4.577499999999984
0shot_czech_arabic_predictions.csv,7,ces,0.7538000000000011
0shot_czech_arabic_predictions.csv,7,ara,0.0045
0shot_czech_arabic_predictions.csv,8,eng,3.8593999999999933
0shot_czech_arabic_predictions.csv,8,ces,0.2910000000000001
0shot_czech_arabic_predictions.csv,9,eng,4.052999999999983
0shot_czech_arabic_predictions.csv,9,ces,2.5075999999999996
0shot_czech_arabic_predictions.csv,10,eng,3.6096999999999806
0shot_czech_arabic_predictions.csv,10,ces,0.7851000000000002
0shot_czech_arabic_predictions.csv,11,ces,1.737500000000008
0shot_czech_arabic_predictions.csv,11,eng,2.738399999999991
0shot_czech_arabic_predictions.csv,13,eng,4.62229999999999
0shot_czech_arabic_predictions.csv,13,ces,0.6003999999999997
0shot_czech_arabic_predictions.csv,14,eng,0.7820999999999985
0shot_czech_arabic_predictions.csv,14,ces,0.719099999999999
0shot_czech_arabic_predictions.csv,14,ara,0.0023
0shot_czech_arabic_predictions.csv,15,eng,19.157399999999917
0shot_czech_arabic_predictions.csv,15,ces,0.5582
0shot_czech_arabic_predictions.csv,15,ara,0.016
0shot_czech_arabic_predictions.csv,16,eng,8.62049999999999
0shot_czech_arabic_predictions.csv,16,ces,0.4431
0shot_czech_arabic_predictions.csv,16,ara,0.0757
0shot_czech_arabic_predictions.csv,17,eng,10.077500000000011
